JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2463771.500000000, A.D. 2033-Jun-23 00:00:00.0000,  2.982456182194140E+06, -1.396263584363966E+08, -6.049929190652132E+07,  2.929179785055895E+01,  5.578528664124779E-01,  2.416480954812018E-01,
2463772.500000000, A.D. 2033-Jun-24 00:00:00.0000,  5.512624161218340E+06, -1.395585096381710E+08, -6.046989585603673E+07,  2.927553004311645E+01,  1.012671425394923E+00,  4.387944858402950E-01,
2463773.500000000, A.D. 2033-Jun-25 00:00:00.0000,  8.041030227943851E+06, -1.394513791626879E+08, -6.042347270325229E+07,  2.925101418693252E+01,  1.467130663280219E+00,  6.357851880469610E-01,
2463774.500000000, A.D. 2033-Jun-26 00:00:00.0000,  1.056696212756978E+07, -1.393050033115072E+08, -6.036003817800608E+07,  2.921825932869727E+01,  1.921108936701470E+00,  8.325674739802377E-01,
2463775.500000000, A.D. 2033-Jun-27 00:00:00.0000,  1.308970847208624E+07, -1.391194288884929E+08, -6.027961256253526E+07,  2.917727648538188E+01,  2.374484784102954E+00,  1.029088693893730E+00,
2463776.500000000, A.D. 2033-Jun-28 00:00:00.0000,  1.560855891026825E+07, -1.388947131830682E+08, -6.018222068424889E+07,  2.912807863879889E+01,  2.827136949800011E+00,  1.225296287003392E+00,
2463777.500000000, A.D. 2033-Jun-29 00:00:00.0000,  1.812280429722205E+07, -1.386309239513804E+08, -6.006789190757850E+07,  2.907068073071158E+01,  3.278944408241775E+00,  1.421137792212832E+00,
2463778.500000000, A.D. 2033-Jun-30 00:00:00.0000,  2.063173686353472E+07, -1.383281393953763E+08, -5.993666012490478E+07,  2.900509965849702E+01,  3.729786388010103E+00,  1.616560858725722E+00,
2463779.500000000, A.D. 2033-Jul-01 00:00:00.0000,  2.313465038406614E+07, -1.379864481398312E+08, -5.978856374658038E+07,  2.893135427120678E+01,  4.179542395182500E+00,  1.811513256336774E+00,
2463780.500000000, A.D. 2033-Jul-02 00:00:00.0000,  2.563084034641188E+07, -1.376059492073914E+08, -5.962364569008072E+07,  2.884946536582933E+01,  4.628092235913673E+00,  2.005942885318006E+00,
2463781.500000000, A.D. 2033-Jul-03 00:00:00.0000,  2.811960411904427E+07, -1.371867519917011E+08, -5.944195336831883E+07,  2.875945568356212E+01,  5.075316038225208E+00,  2.199797785886172E+00,
2463782.500000000, A.D. 2033-Jul-04 00:00:00.0000,  3.060024111912644E+07, -1.367289762286770E+08, -5.924353867715877E+07,  2.866134990594145E+01,  5.521094273108249E+00,  2.393026147300991E+00,
2463783.500000000, A.D. 2033-Jul-05 00:00:00.0000,  3.307205297998118E+07, -1.362327519659837E+08, -5.902845798215572E+07,  2.855517465070749E+01,  5.965307775097084E+00,  2.585576316678849E+00,
2463784.500000000, A.D. 2033-Jul-06 00:00:00.0000,  3.553434371818846E+07, -1.356982195307486E+08, -5.879677210454391E+07,  2.844095846733519E+01,  6.407837762476640E+00,  2.777396807609975E+00,
2463785.500000000, A.D. 2033-Jul-07 00:00:00.0000,  3.798641990028058E+07, -1.351255294955407E+08, -5.854854630648525E+07,  2.831873183218058E+01,  6.848565857279954E+00,  2.968436308665269E+00,
2463786.500000000, A.D. 2033-Jul-08 00:00:00.0000,  4.042759080899966E+07, -1.345148426426259E+08, -5.828385027558468E+07,  2.818852714319445E+01,  7.287374105230285E+00,  3.158643691879636E+00,
2463787.500000000, A.D. 2033-Jul-09 00:00:00.0000,  4.285716860907789E+07, -1.338663299264951E+08, -5.800275810867026E+07,  2.805037871415740E+01,  7.724144995794035E+00,  3.347968021305050E+00,
2463788.500000000, A.D. 2033-Jul-10 00:00:00.0000,  4.527446851249790E+07, -1.331801724346484E+08, -5.770534829482752E+07,  2.790432276840372E+01,  8.158761482532393E+00,  3.536358561736475E+00,
2463789.500000000, A.D. 2033-Jul-11 00:00:00.0000,  4.767880894318864E+07, -1.324565613466007E+08, -5.739170369766860E+07,  2.775039743203684E+01,  8.591107003958779E+00,  3.723764787720631E+00,
2463790.500000000, A.D. 2033-Jul-12 00:00:00.0000,  5.006951170111507E+07, -1.316956978910561E+08, -5.706191153680692E+07,  2.758864272670151E+01,  9.021065505102809E+00,  3.910136392949611E+00,
2463791.500000000, A.D. 2033-Jul-13 00:00:00.0000,  5.244590212572973E+07, -1.308977933011832E+08, -5.671606336850116E+07,  2.741910056207179E+01,  9.448521459916572E+00,  4.095423300102126E+00,
2463792.500000000, A.D. 2033-Jul-14 00:00:00.0000,  5.480730925877251E+07, -1.300630687679182E+08, -5.635425506543019E+07,  2.724181472833822E+01,  9.873359894492291E+00,  4.279575671103218E+00,
2463793.500000000, A.D. 2033-Jul-15 00:00:00.0000,  5.715306600643366E+07, -1.291917553912353E+08, -5.597658679556841E+07,  2.705683088901752E+01,  1.029546641085899E+01,  4.462543917663300E+00,
