JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2465346.500000000, A.D. 2037-Oct-15 00:00:00.0000, -4.690154910200076E+07, -4.921148823766147E+07,  3.125348418365493E+05,  2.631222015545904E+01, -3.305793742168480E+01, -5.049652866293693E+00,
2465347.500000000, A.D. 2037-Oct-16 00:00:00.0000, -4.453638412422329E+07, -5.197688412137172E+07, -1.258624739231355E+05,  2.840690637324682E+01, -3.092829345511624E+01, -5.093956339541803E+00,
2465348.500000000, A.D. 2037-Oct-17 00:00:00.0000, -4.199835751482122E+07, -5.455146956256614E+07, -5.669006272486523E+05,  3.031001424590960E+01, -2.864508218805320E+01, -5.110498995439617E+00,
2465349.500000000, A.D. 2037-Oct-18 00:00:00.0000, -3.930489189609107E+07, -5.692309742722820E+07, -1.008118049642153E+06,  3.200226559607245E+01, -2.623502825512908E+01, -5.097949171643474E+00,
2465350.500000000, A.D. 2037-Oct-19 00:00:00.0000, -3.647483456124462E+07, -5.908211057652849E+07, -1.446972616504200E+06,  3.347013747061249E+01, -2.372881026880794E+01, -5.055788977464386E+00,
2465351.500000000, A.D. 2037-Oct-20 00:00:00.0000, -3.352791963491008E+07, -6.102161887334705E+07, -1.880915108039174E+06,  3.470673747065787E+01, -2.115952703003601E+01, -4.984378061212341E+00,
2465352.500000000, A.D. 2037-Oct-21 00:00:00.0000, -3.048417195693966E+07, -6.273763527928437E+07, -2.307465761217475E+06,  3.571227007219082E+01, -1.856098683674452E+01, -4.884961040094098E+00,
2465353.500000000, A.D. 2037-Oct-22 00:00:00.0000, -2.736328955378787E+07, -6.422906037103352E+07, -2.724289003778663E+06,  3.649406305712586E+01, -1.596592791018533E+01, -4.759618218547469E+00,
2465354.500000000, A.D. 2037-Oct-23 00:00:00.0000, -2.418404305994679E+07, -6.549751416050451E+07, -3.129261580019001E+06,  3.706615041664273E+01, -1.340428198253618E+01, -4.611162702930153E+00,
2465355.500000000, A.D. 2037-Oct-24 00:00:00.0000, -2.096372957826595E+07, -6.654702371194200E+07, -3.520529690752316E+06,  3.744843547333491E+01, -1.090159029528282E+01, -4.442990306956823E+00,
2465356.500000000, A.D. 2037-Oct-25 00:00:00.0000, -1.771771528189072E+07, -6.738358412712452E+07, -3.896551450767044E+06,  3.766548384070588E+01, -8.477671824189891E+00, -4.258891534688884E+00,
2465357.500000000, A.D. 2037-Oct-26 00:00:00.0000, -1.445909576138370E+07, -6.801461846520053E+07, -4.256121874512497E+06,  3.774501863273673E+01, -6.145628053844803E+00, -4.062837251453939E+00,
2465358.500000000, A.D. 2037-Oct-27 00:00:00.0000, -1.119849603545950E+07, -6.844836859177601E+07, -4.598378679143805E+06,  3.771620867388630E+01, -3.911248021301783E+00, -3.858751267459269E+00,
2465359.500000000, A.D. 2037-Oct-28 00:00:00.0000, -7.944023707818412E+06, -6.869325342339869E+07, -4.922788377624948E+06,  3.760785323293433E+01, -1.772852893642193E+00, -3.650283866803122E+00,
2465360.500000000, A.D. 2037-Oct-29 00:00:00.0000, -4.701379482461815E+06, -6.875723327897370E+07, -5.229113351205762E+06,  3.744657324298575E+01,  2.784074681653985E-01, -3.440600267862338E+00,
2465361.500000000, A.D. 2037-Oct-30 00:00:00.0000, -1.474119712358121E+06, -6.864721893522814E+07, -5.517361766195424E+06,  3.725511869094936E+01,  2.257821039877468E+00, -3.232197103476063E+00,
2465362.500000000, A.D. 2037-Oct-31 00:00:00.0000,  1.735943566304808E+06, -6.836856151950742E+07, -5.787723263079870E+06,  3.705089488862372E+01,  4.185984912962003E+00, -3.026758316636661E+00,
2465363.500000000, A.D. 2037-Nov-01 00:00:00.0000,  4.928228007465565E+06, -6.792465471374479E+07, -6.040494232143998E+06,  3.684479710818049E+01,  6.087346966868620E+00, -2.825059483720304E+00,
2465364.500000000, A.D. 2037-Nov-02 00:00:00.0000,  8.102781589469007E+06, -6.731667417622837E+07, -6.275997145207774E+06,  3.664042439352662E+01,  7.988503523813265E+00, -2.626926648998010E+00,
2465365.500000000, A.D. 2037-Nov-03 00:00:00.0000,  1.125963351580256E+07, -6.654347101710857E+07, -6.494498798375331E+06,  3.643372039479772E+01,  9.916353255436327E+00, -2.431252460902403E+00,
2465366.500000000, A.D. 2037-Nov-04 00:00:00.0000,  1.439813342049146E+07, -6.560162708551186E+07, -6.696132412896380E+06,  3.621306322823646E+01,  1.189621613034275E+01, -2.236068944273844E+00,
2465367.500000000, A.D. 2037-Nov-05 00:00:00.0000,  1.751631764840248E+07, -6.448567029824530E+07, -6.880828335407984E+06,  3.595979922772513E+01,  1.395002803098297E+01, -2.038672835615726E+00,
2465368.500000000, A.D. 2037-Nov-06 00:00:00.0000,  2.061033977251176E+07, -6.318843884736101E+07, -7.048257588299472E+06,  3.564918869805865E+01,  1.609471671622643E+01, -1.835796259419439E+00,
2465369.500000000, A.D. 2037-Nov-07 00:00:00.0000,  2.367399866639861E+07, -6.170157444289665E+07, -7.197791776554186E+06,  3.525170705423558E+01,  1.834085336705691E+01, -1.623812826411031E+00,
2465370.500000000, A.D. 2037-Nov-08 00:00:00.0000,  2.669839161357358E+07, -6.001611731074940E+07, -7.328481905612215E+06,  3.473462356575833E+01,  2.069165673016521E+01, -1.398967155191483E+00,
2465371.500000000, A.D. 2037-Nov-09 00:00:00.0000,  2.967171247209824E+07, -5.812316993017676E+07, -7.439057564797755E+06,  3.406376363708786E+01,  2.314240492773478E+01, -1.157614485602289E+00,
2465372.500000000, A.D. 2037-Nov-10 00:00:00.0000,  3.257920629130319E+07, -5.601459281234311E+07, -7.527946751068879E+06,  3.320535016868528E+01,  2.568028468523529E+01, -8.964565480592395E-01,
2465373.500000000, A.D. 2037-Nov-11 00:00:00.0000,  3.540328253871799E+07, -5.368369421532027E+07, -7.593315421663646E+06,  3.212781572561548E+01,  2.828468061005277E+01, -6.127602100412073E-01,
2465374.500000000, A.D. 2037-Nov-12 00:00:00.0000,  3.812377982185162E+07, -5.112587664531226E+07, -7.633124745502260E+06,  3.080348026386870E+01,  3.092787992082019E+01, -3.045466178167473E-01,
2465375.500000000, A.D. 2037-Nov-13 00:00:00.0000,  4.071836626904786E+07, -4.833920624436612E+07, -7.645203041731443E+06,  2.920999888527368E+01,  3.357614239066797E+01,  2.925948492559449E-02,
2465376.500000000, A.D. 2037-Nov-14 00:00:00.0000,  4.316305212399908E+07, -4.532487650210449E+07, -7.627328610881835E+06,  2.733149995885010E+01,  3.619106285956590E+01,  3.887279711850677E-01,
2465377.500000000, A.D. 2037-Nov-15 00:00:00.0000,  4.543278510306708E+07, -4.208754480949114E+07, -7.577319128706999E+06,  2.515935502955358E+01,  3.873113595142051E+01,  7.728736966229555E-01,
2465378.500000000, A.D. 2037-Nov-16 00:00:00.0000,  4.750209506174516E+07, -3.863552873709828E+07, -7.493123018237922E+06,  2.269254697543690E+01,  4.115342080482019E+01,  1.179660260340661E+00,
2465379.500000000, A.D. 2037-Nov-17 00:00:00.0000,  4.934575279418347E+07, -3.498085801907709E+07, -7.372908257288825E+06,  1.993763034922275E+01,  4.341519857290172E+01,  1.606054959988867E+00,
2465380.500000000, A.D. 2037-Nov-18 00:00:00.0000,  5.093940848529342E+07, -3.113918744709089E+07, -7.215144412523651E+06,  1.690830604249295E+01,  4.547551767479212E+01,  2.048129459301560E+00,
2465381.500000000, A.D. 2037-Nov-19 00:00:00.0000,  5.226017843364929E+07, -2.712958458938469E+07, -7.018674293348739E+06,  1.362465952940721E+01,  4.729653139187712E+01,  2.501197794678120E+00,
2465382.500000000, A.D. 2037-Nov-20 00:00:00.0000,  5.328715399228043E+07, -2.297421382151444E+07, -6.782772446215919E+06,  1.011213615015467E+01,  4.884454908331467E+01,  2.959981060875304E+00,
2465383.500000000, A.D. 2037-Nov-21 00:00:00.0000,  5.400181390423521E+07, -1.869794400466969E+07, -6.507188701694863E+06,  6.400346405333874E+00,  5.009074531760631E+01,  3.418786624784097E+00,
2465384.500000000, A.D. 2037-Nov-22 00:00:00.0000,  5.438832986251130E+07, -1.432791077337359E+07, -6.192176067173610E+06,  2.521807398070173E+00,  5.101149944301022E+01,  3.871689175821032E+00,
2465385.500000000, A.D. 2037-Nov-23 00:00:00.0000,  5.443376458643905E+07, -9.893065410662368E+06, -5.838503340068340E+06, -1.489268085927107E+00,  5.158837000901870E+01,  4.312701440290954E+00,
2465386.500000000, A.D. 2037-Nov-24 00:00:00.0000,  5.412817124931765E+07, -5.423740460262854E+06, -5.447453805827592E+06, -5.598027044031916E+00,  5.180774205667350E+01,  4.735924014785382E+00,
2465387.500000000, A.D. 2037-Nov-25 00:00:00.0000,  5.346461189433309E+07, -9.512575029062170E+05, -5.020812186463762E+06, -9.769782031177266E+00,  5.166021824321250E+01,  5.135666485535587E+00,
